,USAF,WBAN,STATION NAME,CTRY,ST,CALL,LAT,LON,ELEV(M),BEGIN,END
24,010080, 99999 ,LONGYEAR                      ,SV   ,   ,ENSB  ,78.24600000000001,15.466,26.8,1975-09-29,2021-06-01
25,010090, 99999 ,KARL XII OYA                  ,SV   ,   ,      ,80.65,25.0,5.0,1955-01-01,2021-05-31
26,010100, 99999 ,ANDOYA                        ,NO   ,   ,ENAN  ,69.293,16.144000000000002,13.1,1931-01-03,2021-06-01
27,010110, 99999 ,KVITOYA                       ,SV   ,   ,      ,80.067,31.5,10.0,1986-11-18,2021-05-27
28,010120, 99999 ,                              ,     ,   ,      ,,,,1974-11-30,1975-11-16
29,010140, 99999 ,SENJA-LAUKHELLA               ,NO   ,   ,      ,69.233,17.9,9.0,1973-01-01,2014-05-23
30,010150, 99999 ,HEKKINGEN FYR                 ,NO   ,   ,      ,69.6,17.833,14.0,1980-03-14,2021-06-01
31,010160, 99999 ,KONGSOYA                      ,NO   ,   ,      ,78.933,28.9,20.0,1993-05-01,2021-05-24
32,010170, 99999 ,AKSELOYA                      ,SV   ,   ,      ,77.683,14.783,6.0,1973-01-01,2021-05-31
33,010171, 99999 ,GIBOSTAD                      ,NO   ,   ,      ,69.35,18.083,12.0,2005-02-16,2007-03-07
34,010190, 99999 ,SVARTTANGEN                   ,NO   ,   ,      ,77.517,20.816999999999997,20.0,2010-08-25,2014-05-23
35,010200, 99999 ,SORKAPPOYA                    ,SV   ,   ,      ,76.483,16.55,10.0,2010-10-08,2021-06-01
36,010230, 99999 ,BARDUFOSS                     ,NO   ,   ,ENDU  ,69.056,18.54,76.8,1940-07-13,2021-06-01
37,010231, 99999 ,DRAUGEN                       ,NO   ,   ,ENDR  ,64.35,7.8,0.0,2004-05-10,2020-11-24
38,010240, 99999 ,PYRAMIDEN                     ,NO   ,   ,      ,78.65,16.367,20.0,1973-01-01,2021-06-01
39,010250, 99999 ,TROMSO                        ,NO   ,   ,ENTC  ,69.683,18.919,9.4,1973-01-01,2021-06-01
40,010260, 99999 ,TROMSO                        ,NO   ,   ,      ,69.65,18.933,114.5,1997-02-01,2021-06-01
41,010270, 99999 ,TROMSO-HOLT                   ,NO   ,   ,      ,69.65,18.9,20.0,2011-09-28,2021-06-01
42,010280, 99999 ,BJORNOYA ISLAND               ,NO   ,   ,ENBJ  ,74.517,19.017,18.0,1931-01-03,2021-06-01
43,010300, 99999 ,KISTEFJELL                    ,NO   ,   ,      ,69.283,18.133,982.0,1951-01-01,2021-06-01
44,010303, 99999 ,TROMSO/SKATTURA               ,NO   ,   ,      ,69.7,19.017,14.0,2014-05-22,2015-01-08
45,010320, 99999 ,OVERBYGD                      ,NO   ,   ,      ,69.017,19.283,78.0,1973-01-01,2014-05-23
46,010330, 99999 ,TORSVAG FYR                   ,NO   ,   ,      ,70.25,19.5,24.0,1973-01-01,2021-06-01
47,010340, 99999 ,FUGLOYKALVEN FYR              ,NO   ,   ,      ,70.317,20.15,38.0,1987-12-02,2014-05-23
48,010350, 99999 ,LYNGEN GJERDVASSBU            ,NO   ,   ,      ,69.567,20.1,710.0,1973-01-01,2021-06-01
49,010360, 99999 ,NORDNESFJELLET                ,NO   ,   ,      ,69.567,20.433,710.0,2004-05-10,2021-06-01
50,010361, 99999 ,SKIBOTIN                      ,NO   ,   ,      ,69.367,20.267,5.0,2005-09-16,2005-09-22
51,010370, 99999 ,SKIBOTN 2                     ,NO   ,   ,      ,69.383,20.283,20.0,1973-01-01,2021-06-01
52,010400, 99999 ,SKJERVOY                      ,NO   ,   ,      ,70.033,20.983,15.0,1973-01-01,1978-09-27
53,010410, 99999 ,NORDREISA-OYENG               ,NO   ,   ,      ,69.733,21.017,5.0,1973-01-01,2014-05-23
54,010420, 99999 ,HASVIK-SLUSKFJELLET           ,NO   ,   ,      ,70.6,22.45,438.0,2008-09-17,2021-05-31
55,010430, 99999 ,ROGNSUNDET                    ,NO   ,   ,      ,70.417,22.816999999999997,10.0,1973-01-01,2021-05-24
56,010431, 99999 ,LOPPA                         ,NO   ,   ,      ,70.333,21.467,11.0,2006-02-07,2007-03-07
57,010435, 99999 ,HASVIK                        ,NO   ,   ,      ,70.483,22.15,7.0,1975-05-15,2008-12-30
58,010440, 99999 ,HASVIK                        ,NO   ,   ,ENHK  ,70.487,22.14,6.4,2005-01-02,2021-06-01
59,010450, 99999 ,NORDSTRAUM I KVAENANGEN       ,NO   ,   ,      ,69.833,21.883000000000003,6.0,1973-01-01,2021-06-01
60,010455, 99999 ,                              ,     ,   ,      ,,,,1974-11-17,1975-09-04
61,010460, 99999 ,SORKJOSEN                     ,NO   ,   ,ENSR  ,69.78699999999999,20.959,4.9,1975-09-05,2021-06-01
62,010470, 99999 ,KAUTOKEINO II                 ,NO   ,   ,ENKA  ,69.017,23.066999999999997,307.0,1973-01-01,2021-05-26
63,010490, 99999 ,ALTA                          ,NO   ,   ,ENAT  ,69.976,23.372,2.7,1973-01-01,2021-06-01
64,010510, 99999 ,SUOLOVUOPMI                   ,NO   ,   ,      ,69.583,23.533,374.0,1973-01-02,2014-05-23
65,010520, 99999 ,HAMMERFEST AP                 ,NO   ,   ,ENHF  ,70.683,23.683000000000003,81.0,1940-10-08,2021-06-01
66,010530, 99999 ,HAMMERFEST RADIO              ,NO   ,   ,      ,70.683,23.683000000000003,70.0,1973-01-01,1987-12-26
67,010550, 99999 ,FRUHOLMEN FYR                 ,NO   ,   ,      ,71.1,23.983,14.2,1931-01-01,2021-06-01
68,010570, 99999 ,CUOVDDATMOHKKI                ,NO   ,   ,      ,69.367,24.433000000000003,286.0,1973-01-01,2021-06-01
69,010580, 99999 ,SUOLOVUOPMI LULIT             ,NO   ,   ,      ,69.567,23.533,381.0,2005-02-18,2021-06-01
70,010590, 99999 ,BANAK                         ,NO   ,   ,ENNA  ,70.069,24.973000000000003,7.6,1973-01-01,2021-06-01
71,010610, 99999 ,BRENNELV                      ,NO   ,   ,      ,70.067,25.116999999999997,34.0,1973-01-01,1984-07-07
72,010617, 99999 ,OSEBERG                       ,NO   ,   ,      ,,,,1989-01-01,1990-10-01
73,010620, 99999 ,HOPEN ISLAND                  ,NO   ,   ,ENHO  ,76.5,25.066999999999997,10.0,1955-01-01,2021-06-01
74,010630, 99999 ,KISTRAND III                  ,NO   ,   ,      ,70.45,25.217,6.0,1973-01-01,1987-07-15
75,010650, 99999 ,KARASJOK                      ,NO   ,   ,      ,69.467,25.517,133.0,1973-01-01,2021-06-01
76,010660, 99999 ,HELNES FYR                    ,NO   ,   ,      ,71.067,26.233,33.0,1973-01-01,2004-06-19
77,010670, 99999 ,LEVAJOK-EVJEN                 ,NO   ,   ,      ,69.9,26.416999999999998,112.0,1973-01-03,1982-09-24
78,010671, 99999 ,LEVAJOK-EVJEN                 ,NO   ,   ,      ,69.9,26.416999999999998,112.0,2007-03-07,2007-03-07
79,010680, 99999 ,HONNINGSVAG/VALAN             ,NO   ,   ,ENHV  ,71.017,25.983,14.0,1980-06-04,2021-06-01
80,010720, 99999 ,                              ,     ,   ,      ,,,,1974-02-27,1974-02-27
81,010740, 99999 ,MEHAMN                        ,NO   ,   ,ENMH  ,71.033,27.833000000000002,13.0,1975-09-05,2021-06-01
82,010750, 99999 ,RUSTEFJELBMA                  ,NO   ,   ,      ,70.4,28.2,11.2,1973-01-01,2013-05-31
83,010760, 99999 ,TANABRU                       ,NO   ,   ,      ,70.217,28.166999999999998,32.0,2012-11-21,2021-06-01
84,010780, 99999 ,SLETTNES FYR                  ,NO   ,   ,      ,71.1,28.233,10.0,1973-01-01,2021-06-01
85,010820, 99999 ,NYRUD                         ,NO   ,   ,      ,69.15,29.25,56.0,1973-09-19,2021-06-01
86,010830, 99999 ,BERLEVAG                      ,NO   ,   ,ENBV  ,70.867,29.033,13.0,1975-09-05,2021-06-01
87,010840, 99999 ,PASVIK                        ,NO   ,   ,      ,69.45,30.033,27.0,1973-01-01,2021-06-01
88,010850, 99999 ,BUGOYFJORD                    ,NO   ,   ,      ,69.85,29.416999999999998,8.0,1973-01-01,1978-10-08
89,010860, 99999 ,BATSFJORD                     ,NO   ,   ,ENBS  ,70.6,29.693,149.4,2005-01-01,2021-06-01
90,010875, 99999 ,HEIMDAL OIL PLATFORM          ,NO   ,   ,ENHM  ,59.567,2.217,90.0,2011-01-01,2021-06-01
91,010876, 99999 ,NORNE OIL PLATFORM            ,NO   ,   ,ENNE  ,66.017,8.083,90.0,2011-01-01,2021-06-01
92,010877, 99999 ,TROLL A  OIL PLATFORM         ,NO   ,   ,ENQA  ,60.633,3.717,90.0,2011-01-01,2021-06-01
93,010878, 99999 ,SNORRE A  OIL PLATFORM        ,NO   ,   ,ENSE  ,61.45,2.133,90.0,2011-01-01,2021-06-01
94,010879, 99999 ,SNORRE B  OIL PLATFORM        ,NO   ,   ,ENQR  ,61.533,2.2,90.0,2011-01-01,2021-06-01
95,010880, 99999 ,VADSO                         ,NO   ,   ,ENVD  ,70.067,29.85,39.0,1975-09-05,2021-06-01
96,010881, 99999 ,NARVIK III/FRAMNES            ,NO   ,   ,      ,68.467,17.5,23.0,2008-01-01,2008-12-31
97,010882, 99999 ,ROROS                         ,NO   ,   ,ENRO  ,62.578,11.342,626.1,2005-01-02,2021-06-01
98,010883, 99999 ,SANDANE/ANDA                  ,NO   ,   ,      ,61.833,6.117000000000001,60.0,2008-01-01,2008-12-31
99,010884, 99999 ,GEITERYGGEN                   ,NO   ,   ,ENSN  ,59.185,9.567,141.1,2005-01-03,2015-11-09
100,010885, 99999 ,BATSFJORD                     ,NO   ,   ,      ,70.6,29.733,153.0,1994-07-18,2008-12-31
101,010886, 99999 ,SLEIPNER A OIL PLATFORM       ,NO   ,   ,ENSL  ,58.367,1.9,30.0,2009-02-01,2021-06-01
102,010887, 99999 ,TROLL C OIL PLATFORM          ,NO   ,   ,ENQC  ,60.886,3.61,20.0,2011-05-12,2021-06-01
103,010890, 99999 ,HOYBUKTMOEN                   ,NO   ,   ,ENKR  ,69.726,29.893,86.3,1940-11-01,2021-06-01
104,010920, 99999 ,MAKKAUR FYR                   ,NO   ,   ,      ,70.7,30.083000000000002,9.0,1973-01-01,2021-05-31
105,010970, 99999 ,SVARTNES                      ,NO   ,   ,      ,70.35,31.05,12.0,1993-02-09,2008-12-31
106,010980, 99999 ,VARDO                         ,NO   ,   ,      ,70.367,31.1,15.0,1931-01-03,2021-06-01
107,010985, 99999 ,                              ,     ,   ,      ,,,,1974-11-17,1975-09-04
108,010986, 99999 ,                              ,     ,   ,      ,,,,1974-11-17,1975-09-04
109,010987, 99999 ,                              ,     ,   ,      ,,,,1974-11-17,1975-09-04
110,010990, 99999 ,VARDO AP / SVARTNES           ,NO   ,   ,ENSS  ,70.355,31.045,12.8,2005-01-02,2021-06-01
111,011010, 99999 ,BOGUS NORWEGIAN               ,NO   ,   ,      ,,,,1985-12-02,2004-11-05
112,011020, 99999 ,SKLINNA FYR                   ,NO   ,   ,      ,65.2,11.0,16.0,1975-02-28,2021-05-31
113,011025, 99999 ,HEIDRUN                       ,NO   ,   ,ENHE  ,65.333,7.317,80.0,1999-04-24,2021-06-01
114,011030, 99999 ,LEKA                          ,NO   ,   ,      ,65.1,11.7,47.0,1973-01-01,2007-03-07
115,011040, 99999 ,ROTVAER                       ,NO   ,   ,      ,68.367,15.95,8.0,2008-01-01,2008-08-17
116,011050, 99999 ,ROTVAER                       ,NO   ,   ,      ,68.367,15.95,8.0,1973-01-01,2021-06-01
117,011051, 99999 ,SKOMVAER (LGT-H)              ,NO   ,   ,      ,67.417,11.883,18.0,2007-03-07,2007-03-07
118,011060, 99999 ,ROEST III                     ,NO   ,   ,      ,67.517,12.1,2.0,1928-01-01,2008-12-04
119,011070, 99999 ,ROST (NOR-AFB)                ,NO   ,   ,ENRS  ,67.517,12.1,4.0,1988-03-03,2021-06-01
120,011080, 99999 ,VEGA-VALLSJO                  ,NO   ,   ,      ,65.7,11.85,9.1,1991-08-01,2021-06-01
121,011090, 99999 ,SKALVAER                      ,NO   ,   ,      ,65.867,12.183,6.0,1973-01-01,1980-09-10
122,011100, 99999 ,YTTERHOLMEN FYR               ,NO   ,   ,      ,66.0,11.683,33.0,1996-12-01,2005-03-19
123,011110, 99999 ,BRONNOYSUND                   ,NO   ,   ,      ,65.467,12.217,5.0,1973-01-16,1973-07-18
124,011120, 99999 ,BRONNOY                       ,NO   ,   ,ENBN  ,65.461,12.218,7.6,1973-01-01,2021-06-01
125,011130, 99999 ,GLOMFJORD                     ,NO   ,   ,      ,66.8,13.982999999999999,39.0,2004-04-06,2009-12-16
126,011133, 99999 ,DAGALI                        ,NO   ,   ,ENDI  ,60.417,8.513,798.0,1986-05-09,2003-04-27
127,011140, 99999 ,REIPA                         ,NO   ,   ,      ,66.9,13.633,8.0,2009-07-02,2021-06-01
128,011150, 99999 ,MYKEN                         ,NO   ,   ,      ,66.767,12.482999999999999,13.0,1973-01-01,2021-06-01
129,011160, 99999 ,STOKKA                        ,NO   ,   ,ENST  ,65.95,12.467,17.1,1973-04-01,2021-06-01
130,011170, 99999 ,TJOTTA                        ,NO   ,   ,      ,65.817,12.417,21.0,2004-01-19,2021-06-01
131,011210, 99999 ,SOLVAER III                   ,NO   ,   ,      ,66.367,12.617,10.0,1973-01-01,2021-06-01
132,011220, 99999 ,KJAERSTAD                     ,NO   ,   ,ENMS  ,65.78399999999999,13.215,72.2,1988-10-14,2021-06-01
133,011240, 99999 ,SNASA                         ,NO   ,   ,      ,64.167,12.467,195.0,2005-02-18,2021-06-01
134,011310, 99999 ,GLAPEN LIGHTHOUSE             ,NO   ,   ,      ,67.883,13.05,31.0,1973-01-01,1985-06-25
135,011320, 99999 ,MAJAVATN V                    ,NO   ,   ,      ,65.167,13.367,319.0,2008-02-29,2021-06-01
136,011330, 99999 ,LAKSFORS                      ,NO   ,   ,      ,65.617,13.283,50.0,2011-11-29,2021-06-01
137,011340, 99999 ,MAJAVATN III                  ,NO   ,   ,      ,65.183,13.417,339.0,1973-01-01,2007-06-30
138,011350, 99999 ,SELJELIA                      ,NO   ,   ,      ,66.117,13.583,123.0,2011-11-29,2021-06-01
139,011370, 99999 ,STOTT                         ,NO   ,   ,      ,66.933,13.45,12.0,1973-08-06,2007-03-07
140,011380, 99999 ,TENNHOLMEN (LGT-H)            ,NO   ,   ,      ,67.3,13.5,14.0,1985-09-12,2007-03-07
141,011390, 99999 ,VAEROY HELIPORT               ,NO   ,   ,ENVR  ,67.65,12.717,4.0,2011-09-28,2021-06-01
142,011410, 99999 ,LEKNES                        ,NO   ,   ,ENLK  ,68.15,13.617,26.0,1973-06-20,2021-06-01
143,011430, 99999 ,DRAG-AJLUOKTA                 ,NO   ,   ,      ,68.05,16.083,19.0,2007-08-06,2021-06-01
144,011440, 99999 ,HELLIGVAER II                 ,NO   ,   ,      ,67.4,13.883,24.0,2005-03-15,2021-06-01
145,011450, 99999 ,KVALNES I LOFOTEN             ,NO   ,   ,      ,68.35,13.967,15.0,1973-01-01,1982-05-04
146,011460, 99999 ,SKAMDAL                       ,NO   ,   ,      ,66.233,13.883,5.0,1973-01-01,2021-06-01
147,011470, 99999 ,VARNTRESK                     ,NO   ,   ,      ,65.833,14.183,406.0,1940-09-07,2021-06-01
148,011480, 99999 ,STORFORSHEI                   ,NO   ,   ,      ,66.383,14.517000000000001,110.0,2011-06-16,2021-05-31
149,011490, 99999 ,RANA-BASMOEN                  ,NO   ,   ,      ,66.333,14.1,42.0,1973-01-01,2007-02-28
150,011500, 99999 ,HJARTASEN                     ,NO   ,   ,      ,66.5,14.95,251.0,1973-01-03,2021-06-01
151,011501, 99999 ,HATTFJELLDAL-KRUTA            ,NO   ,   ,      ,65.683,14.167,385.0,2002-03-12,2002-03-12
152,011505, 99999 ,                              ,     ,   ,      ,,,,1975-11-01,1975-11-30
153,011510, 99999 ,MOIRANA                       ,NO   ,   ,ENRA  ,66.367,14.3,70.0,1973-04-01,2021-06-01
154,011520, 99999 ,BODO                          ,NO   ,   ,ENBO  ,67.26899999999999,14.365,12.8,1940-09-17,2021-06-01
155,011530, 99999 ,BODO-VAGONES                  ,NO   ,   ,      ,67.283,14.45,33.0,2011-10-03,2014-06-11
156,011540, 99999 ,LITLOY FYR                    ,NO   ,   ,      ,68.583,14.3,30.0,1994-04-06,2017-08-01
157,011550, 99999 ,BO I VESTERALEN II            ,NO   ,   ,      ,68.633,14.467,12.0,1973-01-01,2004-12-01
158,011560, 99999 ,BO I VESTERALEN               ,NO   ,   ,      ,68.6,14.433,7.6,2004-05-10,2021-05-30
159,011580, 99999 ,SETSA                         ,NO   ,   ,      ,67.167,15.482999999999999,8.0,2010-01-14,2021-06-01
160,011600, 99999 ,SKROVA FYR                    ,NO   ,   ,      ,68.15,14.65,11.0,1973-01-01,2021-06-01
161,011610, 99999 ,SVOLVAER/HELLE                ,NO   ,   ,ENSH  ,68.25,14.667,9.0,1973-06-20,2021-06-01
162,011620, 99999 ,STORKMARKNES/SKAGEN           ,NO   ,   ,ENSK  ,68.583,15.017000000000001,3.0,1973-06-20,2021-06-01
163,011630, 99999 ,BOLNA                         ,NO   ,   ,      ,66.5,15.25,549.0,1973-01-01,1977-08-23
164,011650, 99999 ,GROTOY                        ,NO   ,   ,      ,67.833,14.783,6.0,1973-01-01,1978-10-31
165,011670, 99999 ,SORTLAND                      ,NO   ,   ,      ,68.7,15.417,3.0,1985-02-01,2019-12-22
166,011680, 99999 ,KLEIVA I SORTLAND             ,NO   ,   ,      ,68.65,15.283,23.0,1973-01-01,2006-06-11
167,011690, 99999 ,SALTDAL-NORDNES               ,NO   ,   ,      ,66.933,15.317,37.0,1983-01-01,2021-06-01
168,011691, 99999 ,OVRE SALTDAL                  ,NO   ,   ,      ,66.967,15.317,26.0,1973-01-01,1978-10-08
169,011700, 99999 ,FAUSKE-VETEN                  ,NO   ,   ,      ,67.233,15.317,165.0,1973-01-01,1990-03-07
170,011720, 99999 ,FINNOY I HAMAROY              ,NO   ,   ,      ,68.0,15.617,53.0,1973-01-01,2006-03-11
171,011730, 99999 ,                              ,     ,   ,      ,,,,1973-01-01,1973-07-31
172,011751, 99999 ,LODINGEN                      ,NO   ,   ,      ,68.4,16.0,10.0,2004-01-08,2004-01-08
173,011760, 99999 ,KONGSVIK                      ,NO   ,   ,      ,68.567,16.267,25.0,1973-01-01,1978-01-18
174,011800, 99999 ,HARSTAD                       ,NO   ,   ,      ,68.8,16.533,45.0,2004-05-10,2021-06-01
175,011820, 99999 ,EVENSKJER                     ,NO   ,   ,      ,68.583,16.583,7.0,1973-01-01,1985-11-19
176,011830, 99999 ,EVENES                        ,NO   ,   ,ENEV  ,68.491,16.678,25.6,1975-09-05,2021-06-01
177,011840, 99999 ,SANDSOY I SENJA               ,NO   ,   ,      ,68.933,16.683,45.0,1973-01-01,1978-06-13
178,011841, 99999 ,SANDSOY                       ,NO   ,   ,      ,68.933,16.683,45.0,2007-03-07,2007-03-07
179,011890, 99999 ,LILAND                        ,NO   ,   ,      ,68.483,16.883,19.0,1973-01-02,2005-03-02
180,011895, 99999 ,                              ,     ,   ,      ,,,,1973-10-08,1975-09-04
181,011910, 99999 ,SKJOMEN-SLETTJORD             ,NO   ,   ,      ,68.283,17.317,6.0,1973-01-01,1996-11-04
182,011920, 99999 ,STRAUMSNES                    ,NO   ,   ,      ,68.417,17.65,200.0,2011-02-03,2021-06-01
183,011930, 99999 ,NARVIK III/FRAMNES            ,NO   ,   ,ENNK  ,68.467,17.5,23.0,2001-07-06,2017-04-03
184,011940, 99999 ,NARVIK III                    ,NO   ,   ,ENNK  ,68.467,17.5,23.0,1973-01-01,2004-12-31
185,011960, 99999 ,TENNEVOLL                     ,NO   ,   ,      ,68.75,17.817,21.0,1973-01-01,2002-08-08
186,011980, 99999 ,DIVIDALEN II                  ,NO   ,   ,      ,68.783,19.7,204.0,2010-01-14,2021-05-31
187,011990, 99999 ,SIHCCAJAVRI                   ,NO   ,   ,      ,68.75,23.533,382.0,1949-01-01,2021-06-01
188,012030, 99999 ,KRAKENES                      ,NO   ,   ,      ,62.033,4.9830000000000005,41.0,1931-09-04,2021-06-01
189,012050, 99999 ,SVINOY LH                     ,NO   ,   ,      ,62.333,5.267,37.2,1973-01-01,2021-06-01
190,012070, 99999 ,FISKABYGD                     ,NO   ,   ,      ,62.1,5.582999999999999,41.0,2004-05-10,2018-06-30
191,012090, 99999 ,ORSTA-VOLDA/HOVDEN            ,NO   ,   ,ENOV  ,62.183,6.067,74.0,1984-12-11,2021-06-01
192,012091, 99999 ,ORSTA-VOLDA/HOVD              ,NO   ,   ,ENOV  ,62.183,6.05,74.0,1984-09-10,1984-11-27
193,012100, 99999 ,VIGRA                         ,NO   ,   ,ENAL  ,62.56,6.11,21.0,1973-01-01,2021-06-01
194,012120, 99999 ,ONA II                        ,NO   ,   ,      ,62.867,6.5329999999999995,15.0,1955-01-01,2021-06-01
195,012140, 99999 ,REKDAL                        ,NO   ,   ,      ,62.65,6.767,43.0,2009-01-12,2021-05-29
196,012150, 99999 ,HJELVIK MYRBO                 ,NO   ,   ,      ,62.62,7.23,35.0,1973-01-01,2009-06-30
197,012160, 99999 ,HJELVIK I ROMSDAL             ,NO   ,   ,      ,62.617,7.2170000000000005,16.0,1973-12-26,2002-05-27
198,012161, 99999 ,GJERMUNDNES                   ,NO   ,   ,      ,62.617,7.167000000000001,49.0,2004-04-12,2004-04-12
199,012170, 99999 ,ARO                           ,NO   ,   ,ENML  ,62.745,7.263,3.0,1976-02-01,2021-06-01
200,012180, 99999 ,TAFJORD                       ,NO   ,   ,      ,62.233000000000004,7.417000000000001,17.0,1973-01-01,2021-06-01
201,012200, 99999 ,MANNEN                        ,NO   ,   ,      ,62.45,7.767,1294.0,2010-03-15,2021-06-01
202,012210, 99999 ,TAGDALEN                      ,NO   ,   ,      ,63.05,9.083,415.0,2008-01-15,2021-05-24
203,012220, 99999 ,                              ,     ,   ,      ,,,,1973-01-01,1975-12-31
204,012230, 99999 ,KVERNBERGET                   ,NO   ,   ,ENKB  ,63.111999999999995,7.825,62.2,1973-01-01,2021-06-01
205,012240, 99999 ,AALESUND                      ,NO   ,   ,      ,62.467,6.2170000000000005,50.0,1984-12-01,2021-06-01
206,012250, 99999 ,VEIHOLMEN                     ,NO   ,   ,      ,63.516999999999996,7.95,5.0,1973-01-01,2021-06-01
207,012270, 99999 ,INNERDALEN                    ,NO   ,   ,      ,62.717,8.783,405.0,1973-01-01,2021-06-01
208,012273, 99999 ,TINGVOLL-HANEM                ,NO   ,   ,      ,62.833,8.3,69.0,2005-01-01,2015-01-08
209,012280, 99999 ,SULA                          ,NO   ,   ,      ,63.85,8.467,6.0,1973-01-01,2021-05-31
210,012300, 99999 ,BJORLI                        ,NO   ,   ,      ,62.266999999999996,8.2,579.0,1973-01-01,2021-06-01
211,012310, 99999 ,LESJASKOG                     ,NO   ,   ,      ,62.233000000000004,8.367,621.0,1977-10-30,2008-07-31
212,012320, 99999 ,VINJEORA II                   ,NO   ,   ,      ,62.45,7.85,67.0,1973-01-01,2021-06-01
213,012330, 99999 ,DOMBAAS                       ,NO   ,   ,      ,62.083,9.117,638.0,2006-11-21,2021-06-01
214,012340, 99999 ,ORKDAL-THAMSHAMN              ,NO   ,   ,      ,63.317,9.85,4.0,2006-11-21,2021-06-01
215,012350, 99999 ,DOMBAS-KIRKENAER              ,NO   ,   ,      ,62.083,9.133,645.0,1936-01-01,1976-06-02
216,012360, 99999 ,KJOREMSGRENDE                 ,NO   ,   ,      ,62.1,9.05,626.0,2005-02-18,2010-01-04
217,012370, 99999 ,HITRA                         ,NO   ,   ,      ,63.516999999999996,9.117,13.0,2005-04-02,2021-06-01
218,012380, 99999 ,FOKSTUA II                    ,NO   ,   ,      ,62.117,9.283,974.0,1973-01-01,2021-06-01
219,012390, 99999 ,HJERKINN II                   ,NO   ,   ,      ,62.217,9.55,1012.0,2010-09-07,2021-06-01
220,012400, 99999 ,HALTEN FYR                    ,NO   ,   ,      ,64.167,9.4,16.0,1985-01-10,2021-06-01
221,012410, 99999 ,ORLAND                        ,NO   ,   ,ENOL  ,63.699,9.604,8.5,1973-01-01,2021-06-01
222,012420, 99999 ,AFJORD II                     ,NO   ,   ,      ,63.967,10.217,30.0,2008-01-15,2021-05-31
223,012430, 99999 ,SONGLI                        ,NO   ,   ,      ,63.333,9.65,300.0,1973-01-01,1976-11-19
224,012450, 99999 ,OPPDAL-SETER                  ,NO   ,   ,      ,62.6,9.667,606.0,1976-02-01,2021-06-01
225,012480, 99999 ,VALLERSUND                    ,NO   ,   ,      ,63.85,9.732999999999999,4.0,1973-01-01,1975-12-19
226,012500, 99999 ,FOLLDAL-FREDHEIM              ,NO   ,   ,      ,62.133,10.0,694.0,2011-09-28,2021-06-01
